set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,0.7064986280910058,0.711910653778754,0.7227352656093609,0.7229104423793392,0.7215468888049095,0.7405966354006471,0.7399014489843976,0.72638892062573
2,0.7121483686361069,0.6642962939320607,0.6774572669153087,0.677581934286388,0.6733322894495266,0.6674798800232109,0.6784316971758783,0.6742475698231388
3,0.7148445966791306,0.6329794300014988,0.6421531171160344,0.6435216677336225,0.6422445947591575,0.6450757770212289,0.65533588158260625,0.6445760329329183
4,0.7051419423513043,0.7211932281439913,0.7326822326623612,0.7301638441364785,0.7320909991502047,0.7407405018259346,0.7510499162699742,0.7376864111322853
5,0.7097665496169517,0.7133998070858976,0.7232250430622406,0.7260715723731168,0.7233777560924168,0.7309309486989669,0.734616968408711,0.7258723676894338
6,0.7078822209688895,0.6968371215233652,0.7068366277434296,0.7076993137948752,0.7072996144852732,0.7176499205779887,0.7311884401086319,0.7107767128393704
7,0.7139760223773722,0.7156751456931858,0.7238446364270839,0.7274485029280439,0.7253170259110132,0.7227350077420992,0.7372779825052667,0.7285871998271076
8,0.7061849607131876,0.6752675410571422,0.6875125505450079,0.6878421344067457,0.6847238999277695,0.6949463226301379,0.6997496819407703,0.6889471898988989
9,0.7195868344467409,0.6731716935791541,0.6847720392747166,0.6806813390886662,0.6828094893201783,0.6750390441724327,0.6830669180807531,0.6845512863969051
10,0.7074267493724706,0.7355365399964297,0.7432341117348039,0.7478547458695797,0.7455239698105512,0.7785845486329556,0.7895125461121759,0.7499076966227015
