set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,1.1164668519465262,1.118392455079321,1.1319433772153442,1.136453003851465,1.133217275764458,1.1369914599594997,1.149819117200418,1.1344385473224556
2,1.1274632488551724,1.0896279258768125,1.1092202901906538,1.1136721686821298,1.1045263417922717,1.0858579847494052,1.104648061368742,1.1025922375874553
3,1.1291742476031277,0.9908421486611082,1.0037595794692855,1.0086409997410153,1.005143191300405,1.0073702476474518,1.028766601682359,1.0055165798022772
4,1.1154381171084964,1.1731331709166,1.1921584077165697,1.1901694520040498,1.191066896744092,1.19578314537631,1.2083613370392232,1.1922067883612526
5,1.1180087013475961,1.1280413793897583,1.1435469571600931,1.1507576016157188,1.1437422577658634,1.1434810520394847,1.1584163100919163,1.1447878857090146
6,1.1196288497197087,1.1051524296701059,1.1213218734514667,1.1187807696810794,1.1218677339853291,1.11616841184957,1.1462591354478135,1.12162515058542
7,1.1191553317204235,1.1310145911292864,1.1423739592886115,1.149655993033046,1.1466370096373288,1.1397379973709056,1.1579571460506755,1.146456501536537
8,1.1140530670508733,1.123942483282868,1.1431169511388417,1.1431964801721264,1.1397254944459798,1.133335433153925,1.1521660379938568,1.140263572001428
9,1.1314776437281555,1.0621231007041894,1.0800410071732451,1.076580592028313,1.0772803923028142,1.056955399379028,1.0713211935148808,1.0758728403958266
10,1.1161966750681382,1.1424467166630419,1.1570452067036399,1.1626564243649649,1.157882725777651,1.1635910620687222,1.1703464515668347,1.1580922390794506
