set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,0.5024023416284339,0.4938821371536049,0.5003690013763225,0.5015082328971074,0.5007774783558039,0.5013055043733414,0.5053412377647832,0.500417868551713
2,0.5069512469636918,0.473464265238654,0.47846520583451035,0.4799000641965095,0.48002482404645214,0.4706779563810149,0.476761907345886,0.47919382132808147
3,0.5096374915680338,0.45955745641997386,0.4679922927642723,0.4666982191703601,0.4660690628877378,0.4600572288544812,0.4674695684521015,0.46578611105184226
4,0.5034846371988526,0.48650713257409667,0.49297989332994036,0.4942227481557475,0.4934026072466109,0.48366694695871637,0.49118578367304044,0.49338613660194697
5,0.5001691341001423,0.5113460010151678,0.5196555207171456,0.5207413310734457,0.5185102608168489,0.5250039242793623,0.5331002614980996,0.517987303296839
6,0.5019524951102826,0.49787718239233153,0.5077719739012738,0.5061909383448163,0.5047944743952302,0.4984124852095229,0.506444096444384,0.5049804877390381
7,0.5006635987519962,0.5028491427917531,0.5088975258122062,0.5084126312069052,0.5099141825153773,0.5112504384362354,0.5204100416127077,0.5106622402925368
8,0.5037524235529897,0.48199919245315526,0.48821887448640094,0.4887392375797457,0.48859825193778017,0.48743287041137034,0.48863887792838295,0.48855066241568956
9,0.4996081564825157,0.5073340850747055,0.5163079253098061,0.5168740570171734,0.5146694889698779,0.5090636458736173,0.5143276976445227,0.5141169151495382
10,0.5022384560880964,0.5461937125931051,0.5575089936401004,0.5577533319353158,0.5542629083854074,0.5520984255328807,0.5644787546729467,0.5539111033152093
