set_number,err_true,err_train,err_cv,err_loo,err_grid_buffer,err_sloo
1,1.928092581308967,1.8145268716868952,1.830537946214226,1.829558273200125,1.8458578635045788,1.828677059233184
2,1.9262800568622658,1.837480551486016,1.853569833264533,1.8514602155933169,1.8364418402437395,1.8512559418342258
3,1.9290227851841693,1.930768130267165,1.9453518988390128,1.9452097378666362,1.9520430646625055,1.9432702551055743
4,1.9290765766358857,1.923350621153807,1.9359447171616015,1.9389445162408605,1.8997138122873176,1.9370457579158056
5,1.9227249988879571,1.9169964717771741,1.9316744158266235,1.9318764972088516,1.911241470609424,1.9310972703361835
6,1.9314316491001127,1.9430051058004734,1.9553500822542602,1.9586778153930138,1.9515577571543314,1.9560688138491893
7,1.926436389444933,1.952601191521207,1.965719389750831,1.9683185201987492,1.9672813818511028,1.967708685168528
8,1.9322297810148168,1.8985223426013045,1.9158405098666325,1.9135875451610427,1.9172001167028967,1.9128801967401952
9,1.9289102381471448,1.9796912671153897,1.9931773508297304,1.9947457197451737,1.9772607777135136,1.992819545872367
10,1.9320262515565583,1.9750234876160562,1.9908274128377412,1.9905165062672423,1.9796865447707253,1.9934944576537736
11,1.9223128934419158,1.954961078197489,1.9700647132273508,1.9705501383567863,1.958947332196159,1.9694127948914546
12,1.9229726822661297,1.8687128376927375,1.883772616842341,1.8832449558233955,1.8830486676442435,1.8820079613103813
13,1.9273924872752306,1.9267677788842514,1.9401640298578637,1.9419279344346319,1.9433310422246581,1.9477638917158973
14,1.9318093735303477,1.8724173173962952,1.8816468729282108,1.8870406960028123,1.8603254080124239,1.884672298370458
15,1.9280221858971631,1.8002834180702125,1.8148447451261234,1.8154218579305672,1.8019398550498207,1.8182818299576302
16,1.926147040744553,1.9175787405037605,1.9383193891325867,1.9324706094141952,1.9260095687005456,1.9327006439942804
17,1.928056328415441,1.8899677859351702,1.9077523054583871,1.905603323478632,1.9093400393080777,1.9043249634685198
18,1.9401538847801922,1.988884452965785,2.0060395869638468,2.0042669336650785,2.017385049688464,2.0029130415441085
19,1.9242872016955352,1.9554394893205795,1.9690735495582172,1.9720995364860467,1.9751546416581243,1.9691262608602822
20,1.9270684861428005,1.9711417975918828,1.9871115253042135,1.9874781201518235,1.999846038570364,1.9851746955967535
21,1.9353120254585674,1.9633280677353289,1.9765096685649473,1.978845511423927,1.973447193482541,1.9758868014150952
22,1.936815548675107,1.8731487287540836,1.895210371710429,1.8888412209387768,1.887507923379721,1.89129082265828
23,1.9249785774485435,1.8797848423716466,1.8932982817156756,1.8945605427453915,1.9123997160768837,1.8933849673487981
24,1.9252140974985654,1.9017625950868546,1.9192088898344426,1.9177587996071859,1.9027627459575687,1.91598121509902
25,1.939759295390852,1.859440249763848,1.8722168763848273,1.8739844872017166,1.869290143667762,1.8765002168228084
26,1.927229994669857,1.8795310421796396,1.8941191799601227,1.8946944509878236,1.8793788803040465,1.8930541808188297
27,1.9270552512035983,1.7651567019633974,1.7797142801211632,1.780287374661652,1.7737750307303088,1.7786472354264036
28,1.9222289593984279,1.926707977610893,1.9391049830424922,1.9420668260093525,1.921826456693988,1.9472281227123378
29,1.9238918944419423,1.9216759808122426,1.9411497614941244,1.9365466895173093,1.9391453729389352,1.9421603920003205
30,1.9269927188576526,1.859184682419403,1.8791491281453903,1.8737819135970517,1.8671563995424068,1.8759110623946658
31,1.928557143150355,1.9612340224589606,1.9763417777057697,1.9768868201562597,1.9769924499744727,1.9780257324390897
32,1.9320085945024945,1.8343583271829031,1.8487925288802916,1.8493966042792584,1.839547046421381,1.8492937840064252
33,1.9224619565818206,1.9394569813244757,1.9598755332465108,1.9550453235754832,1.9512292020095616,1.9522332453471032
34,1.9288571496399505,1.8222290402056127,1.8369541840445731,1.8368948353183079,1.819151253759003,1.8429521046732797
35,1.9268431933591015,1.8606644330605595,1.8752563983212716,1.875318008907154,1.8697994220651386,1.875473084598909
36,1.9305144501788076,1.8538910993281386,1.8668508435180633,1.869073911140375,1.8638521935549508,1.8704577598676997
37,1.9250832056017846,1.9927011731804338,2.007321200615995,2.009022548135308,1.9907156046465178,2.005276188166672
38,1.9364894035863052,1.881098686336003,1.8980077604806729,1.8957351362987338,1.8846277600855632,1.899105087543856
39,1.928651512680106,1.9424032317935354,1.9555070838717383,1.9579827435913415,1.9668974397863415,1.9553712495414053
40,1.9275600536164508,1.8956213226623149,1.9095060083209625,1.9110584680740588,1.9415481506945755,1.914038761515602
41,1.929455897525234,1.8710336781076597,1.887358167874261,1.8860433082140553,1.8816204535054961,1.8883189575318322
42,1.9316470417970637,1.9477427467562745,1.9646744826437816,1.9638316970337015,1.9460734657834122,1.966051956264949
43,1.9297757537996307,1.9297892980860076,1.9447175030175878,1.9455539516842553,1.9434008164410672,1.9450976225832735
44,1.9316966104897997,1.9413781291965957,1.9567964308928922,1.9574048721870647,1.961784781403147,1.9594181178521823
45,1.9300614991196172,2.0218727251170923,2.0425492845002613,2.038526289211966,2.0310470856508496,2.0425215201971443
46,1.9341098123601859,1.8775057089786298,1.8938183733707514,1.8922290863944393,1.8928919717868002,1.889679785939904
47,1.9303336389750254,1.9894249604619514,2.0109847184886074,2.00497147895819,1.9995792680806541,2.00419532462563
48,1.9275286476105762,1.9098633534824476,1.9252569683614285,1.9259087247255426,1.9225277600680934,1.9246443575337184
49,1.929903969705406,1.8886782989943136,1.8999604760544002,1.9030383788332883,1.8966311146030306,1.9080133488207704
50,1.9279234941455419,1.924960602218807,1.940848727478548,1.9409655012220364,1.9531030470132376,1.9432446162633574
51,1.932662267637609,1.9401889672671921,1.961112741589724,1.9554270985180955,1.9535053288810726,1.9527809414647646
52,1.935624383504507,1.9683351116291623,1.9818158572864075,1.984186072514714,1.9817165925101758,1.9892816468047274
53,1.925552659420638,1.964691130668355,1.9832839751220455,1.9811625739620327,1.9794308081064254,1.9814594692233973
54,1.9225112392541635,1.9402646036374933,1.9644103573362157,1.9558381514435825,1.955151551075097,1.9559072109067142
55,1.9253446611337042,1.9995990945666489,2.0114095815685604,2.0162056715053955,2.017683543284467,2.01443400509862
56,1.9334485329318651,1.9220118990847925,1.9439158105846264,1.9381800973974692,1.936534793340022,1.9360435855539173
57,1.9406645060830199,1.7969918622805325,1.808505767272976,1.8116010979407513,1.8052773983453645,1.8092386784426642
58,1.9331176583623104,1.8767912596313565,1.8957660247140815,1.8925653892103014,1.8797550023250278,1.890014497952807
59,1.9223681335742313,1.854137238777807,1.8740156854163592,1.8694835290256464,1.881867620867316,1.868686002758436
60,1.9249682079585273,1.9293272484812232,1.9444726387571845,1.944419350872197,1.9523944904007886,1.9461989504917427
61,1.9345367754100256,1.9530929620702007,1.970784394968783,1.969438552158265,1.9549903259650088,1.9684812825866684
