set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,2.0046305116102716,2.061623315778814,2.0837650219099015,2.0835220524967792,2.0778507325538103,2.0862986721095664,2.1016617244603086,2.07963099715687
2,1.998877389832618,1.9511375158537014,1.9632471945070962,1.9749510882778063,1.9662623756958688,1.9740304674526268,1.9760570810023705,1.9643176939026452
3,2.000563129560969,2.144395552750944,2.1621421276905215,2.160971069032659,2.1610845640688194,2.1700840189480415,2.1875036993320367,2.158622628008931
4,2.00502161114212,2.095003379008367,2.1102311374848277,2.1157241054190488,2.1123456811136236,2.0930489518270736,2.1246658966448595,2.1129925823530673
5,2.005330563879627,1.969394453388457,1.9847514381141407,1.9864762534792575,1.9847318787212593,1.9635606179879606,1.98552018008921,1.9824268402857126
6,2.0132923018061932,2.0039379805337187,2.0153293199509026,2.0262866290173194,2.020059176232362,2.0307771388424194,2.0321484985574156,2.020847445500899
7,2.012700172028925,1.908300129094828,1.9308977894187944,1.925928343833512,1.924050385865551,1.9151584291994848,1.9201053985760697,1.9263003827888685
8,2.003979991065475,1.9988657203859665,2.0149295863234116,2.0161133687586696,2.014671552868827,1.9963232639338742,2.0093544774181904,2.018337542895896
9,2.009002225255096,1.9981554392459602,2.0188746881185513,2.020747027035114,2.01480894271124,2.011992193357484,2.0318931761228676,2.0157029346198825
10,2.000152463225743,2.0551570305120768,2.0678359139940135,2.073190181758274,2.0722334873507906,2.073647742730853,2.0913345725324906,2.078303824630758
11,2.002517601580385,2.00203800581298,2.0196166440991523,2.0343831839563946,2.0176987680597307,2.0226399194277245,2.0178350022723106,2.0133307353590686
12,2.0131714123487185,2.0110764195251836,2.026094667362825,2.0296046041584646,2.026259273906121,2.0229208316580745,2.0285000098923054,2.0231882483436037
13,2.010534867849404,1.937064828915427,1.9566004689295866,1.9525830306998975,1.9533590810260677,1.9566814526627117,1.972815157278929,1.9546903516401577
14,2.0159443719322234,1.9388892159966749,1.9532669864590568,1.9576493086157076,1.9541885401240933,1.9465835551550714,1.9510576134693811,1.9550272241180053
15,1.9989983100161066,1.8892606148909714,1.9057311623099107,1.9003846297349063,1.9051384425065316,1.902008124056037,1.9079337821388238,1.9023224107245924
16,2.0084371953017106,2.0136642059440573,2.0379838417857603,2.034269094806307,2.0306001935170825,2.0458656952480627,2.0616816516385703,2.0269935087818554
17,2.000734305108355,2.117789369370412,2.1362248223291127,2.136829614353321,2.135582151331677,2.141522730752296,2.1592116983588348,2.1410803293811838
18,2.0030267217825486,1.9148144452150317,1.9288555260433025,1.9268733234296371,1.9310957915452351,1.9369423768673064,1.96019688376119,1.9367409208917121
19,1.999275040641886,2.033935338144348,2.0576610390410814,2.0545966289720403,2.051102437032296,2.046817333309477,2.06026367990408,2.0510594337646695
20,2.00169869727414,1.9685868592559677,1.982030862847015,1.9836677546593429,1.9847902655211913,1.9736829492111818,1.9891337711371004,1.9837102683914762
21,2.0008478613335345,1.9527653533836076,1.966887302293803,1.9721739900092436,1.9687030038540254,1.9524150472318762,1.9685759337728959,1.9667948165000908
22,2.0173496530261548,1.9647502766355494,1.9788886882183445,1.9846095732749889,1.9811727680467555,1.971275803662785,1.984532360987509,1.9817320933722058
23,2.0084590398679154,2.054104943147084,2.0703705243227333,2.0748362592148615,2.0709239995411375,2.069243718646402,2.097215314716797,2.072022444113761
24,2.0032551178972153,1.9726623095410385,1.9922214132080536,1.9930874157244662,1.9890601802833672,1.9530512702801774,1.9939023821610673,1.9926496934271956
25,1.9998788969775532,1.9826833143431797,2.0012606446916386,2.002228578281019,1.9994096392551064,1.9917294957571807,2.0127578879910617,1.9992039880992096
26,1.9981965861521649,2.080682259616978,2.0975573344009635,2.098710642131301,2.097937045254851,2.101805269997946,2.1232531055788697,2.097431569331717
27,1.9991963737382512,1.9825371588670828,1.99895288783306,1.9982175264645672,1.9987591432241334,1.955407002222786,1.9955924978817978,1.9992598763052378
28,2.002534845809447,1.9755662897880508,1.9903595093507616,1.9974639036134185,1.9923961062969042,1.9675915376879936,1.9974439526555638,1.9878961713663332
29,2.0125498919753366,1.9135732432299555,1.9256016123617394,1.9285649316804576,1.9282593234190226,1.9239303667711631,1.945807711081903,1.9292690275006654
30,2.005530464232264,1.9081606985205248,1.9255663350286838,1.9219571805233933,1.9233976858200688,1.9150793134596218,1.9353630263161368,1.9203032599102987
31,2.0041129088044727,1.995105243295669,2.0110637159140206,2.0126261979771534,2.0109542318133777,2.0063627197509644,2.0507081952563535,2.0077621607541345
32,1.9993062233954493,2.025489112386824,2.044481718924206,2.036015430918321,2.0413070810787652,2.0578397979608627,2.0511102330943283,2.045123517469047
33,2.0012662451358008,1.9630558390895625,1.9795561023121484,1.981456510219155,1.9789353586609824,1.9726367337217607,1.9946101629235948,1.9776134873814373
34,2.0116754692814216,1.9749744545046632,1.9914931935607048,1.9975480623970412,1.991691122498523,1.9978001727362245,2.0004780646008484,1.989498881741387
35,2.0075403863054335,1.9365136370608862,1.9502883504432058,1.9537761211703049,1.95259541697902,1.9497442803195084,1.9549987872290437,1.9510290048983416
36,2.0045885171841036,1.922344279155858,1.9456753899493353,1.9390028903054735,1.9380008302104346,1.9431709078949178,1.9490208420474882,1.936652194467421
37,1.998814363332321,2.031215006530211,2.0456223649144,2.056524908035415,2.048509956453812,2.026082374454059,2.050756762045334,2.0455428560610103
38,2.0113084670888024,2.0746834390153013,2.090809851660671,2.090211512051773,2.0904983143752043,2.0928363184490664,2.088917767087929,2.089192951384892
39,2.003689268102595,1.9453379889525428,1.9636937646836257,1.9576775969499065,1.9610096738911968,1.9514951990483074,1.9678799579651436,1.9598864841729657
40,1.9993906448655951,1.945550408661748,1.9661923577793035,1.9683443169176527,1.961146557032647,1.9616740651899345,1.9785871886660742,1.9566601227413112
41,1.998621503532087,2.092946018031453,2.107901281754174,2.110420586810754,2.110047860568493,2.1338970055495183,2.1425546044414046,2.1125448795649424
42,2.010587999517626,1.9846114198654217,2.000074421817105,2.001646528507195,2.000280200588841,1.998446825042893,2.015532049582795,1.9999998189111596
43,2.0087301106116437,1.9591988571285073,1.9746260707894383,1.9821725254663574,1.9752426369464817,1.9599129243932174,1.9786396017813386,1.9720516994418829
44,2.00171358317195,1.913689643514623,1.9263907162066187,1.9315695500052543,1.9291780088974053,1.9462908537272199,1.9578733904021373,1.9342168544385367
45,2.0102585837044087,1.9074991522487386,1.9213823275284065,1.929497418900344,1.9223493131423974,1.9243968913379856,1.9304777749781712,1.9277999642144266
46,2.0140577748872035,1.9359998745761475,1.950765047869563,1.9583411605594436,1.951830732987195,1.9369504079476974,1.9514645652591822,1.9513598132257859
47,2.0080265548456406,2.0595155951952804,2.0717293463209883,2.07683054634493,2.0769206862218184,2.0760919754080014,2.111567964504503,2.0783697333394264
48,2.0044333916759856,1.9395726725090001,1.9571023573598672,1.9563485056780747,1.9549683098223742,1.9616698018387897,1.9781711780316666,1.9550125826820823
49,2.000325086238278,1.872269806163779,1.8849225495219983,1.8875591931551623,1.887256306100801,1.8859275817824837,1.9025225205351026,1.893412951012342
50,2.002837064307926,1.952959646109044,1.9711683951405379,1.9695144825303434,1.968908364710968,1.9387933538373994,1.9705117903958784,1.9644022222627702
51,2.001500097574673,1.9674496331844045,1.981749706002755,1.9819950033146647,1.9830163633767626,1.965222708268571,1.9854270971710746,1.985056885803038
52,1.9999469904071385,2.0121741761427696,2.031625801125556,2.0341244894747574,2.028857462948818,2.0211679469510715,2.0394410192674104,2.0239579902130806
53,2.0074449169575947,2.046790103261769,2.0576039932068344,2.0629611408866513,2.063822400129231,2.0641185446334265,2.0667616155173634,2.0655016961353163
54,2.0054638625744476,1.9894899253025993,2.0062636173967188,2.004556441834079,2.00559731840875,1.9965983833529282,2.013312062423202,2.0065847487068345
55,2.0002332764112554,1.9528551300845844,1.9689506608081273,1.968089965149742,1.9681867230086956,1.9710132663245226,1.973380320882977,1.968162607327771
56,2.0023124788189857,2.102824619457841,2.1227344676962,2.1196419219696443,2.1203085306635394,2.113675754297887,2.122647665650165,2.1185486312258694
57,2.014230868169221,2.031536876892136,2.0465535417763996,2.051008115608484,2.048119121475434,2.0515107413228857,2.0532902760412264,2.0523407468279404
58,2.0086037964136922,1.99337458017453,2.011071991482126,2.005547866405532,2.008908430791147,1.9887355730639464,2.0201829974506125,2.006934962182813
59,2.005295252388115,2.045701392949778,2.0644463691750605,2.0630340554035587,2.062319731761659,2.072918113489409,2.0908175164140386,2.062439430084324
60,2.0133430522977007,2.0229006804369662,2.0407247269044726,2.0402129207665385,2.03936063106629,2.0283377109046934,2.044942503160137,2.040490936006543
61,2.009244997448044,1.9125975415489875,1.9230425955616866,1.9227276430362268,1.9266544654024071,1.9332745964264013,1.94007642667895,1.9247006681656886
62,2.002122430344133,1.986800921375741,2.001901109765735,2.002493446903661,2.0026790338704292,1.9872731742243224,2.03413592888362,2.0059438816810684
63,2.0112706599081887,1.9847511270516112,2.002885748500973,2.0044890193526332,2.001907245353513,1.983759693127694,2.0114677925479665,2.001656291576968
64,2.0098162675492524,1.968194627885461,1.9847559532032422,1.9878980868907175,1.9833322861508895,1.9694823571461173,1.9863913914188274,1.9831816498666461
65,2.0109970023544483,1.9273264032615796,1.9428039839618578,1.945012957018769,1.9427105077518176,1.9217120987860936,1.9350581815741557,1.9388382034390124
66,2.001024031988853,1.871803554293453,1.8872424989232668,1.8880002529414317,1.8871192949974989,1.8916604901727903,1.9010752844010703,1.8909408564137131
67,2.003296159277276,1.9879955707711452,2.006099130965032,2.007603436331175,2.0041782244195057,1.9899817434219063,1.995649837119881,2.011105649800416
