set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,2.001844894287804,1.9067714887492861,1.928085709183836,1.9300399852761885,1.9231342842886314,1.9217190565034166,1.9364605745025507,1.9193844920403247
2,1.9995492652219613,2.015018614432354,2.030516440239321,2.034172697687091,2.031226415919706,2.055297639710552,2.057762475723225,2.031807529770823
3,1.993959156046755,1.9409855514564203,1.9552037235589108,1.9582907195689558,1.9574626526166918,1.9719063962945909,1.9721389460495091,1.9558831314431238
4,2.008710725746455,2.0631382288268076,2.072318286914867,2.080143723453251,2.0788779061060336,2.090021471417796,2.1102195201799847,2.0819019536945
5,1.9926279074829707,1.8906098083208032,1.9017875810569298,1.9048309976125497,1.9059789574282213,1.9303859110454373,1.93742725325688,1.9087032111662252
6,1.992147020924942,1.9122302043466266,1.9366789937423063,1.9280878471293696,1.9287228092159188,1.9337040130496455,1.9329496713879142,1.927782505502046
7,1.9973995477244977,1.9447887928454188,1.961735301269585,1.961516408693168,1.960357816987169,1.9472452616506917,1.949969875575508,1.9636703624333693
8,2.000011337686753,2.019086241047355,2.0346515455327316,2.038644527802162,2.0363196694157577,2.037017268639222,2.073939860512378,2.0363816247224884
9,1.9952791424654774,1.9565997117628402,1.9743364253033928,1.9797618156260852,1.9733962580393658,1.9576997994090066,1.9941696663059987,1.9802120606929865
10,2.010214668042638,1.9101442116415108,1.9264988382522008,1.931968160256183,1.9256731853591973,1.9387937116697755,1.940663914415614,1.9264899636411683
11,1.9952690363827355,2.1360043615285464,2.1529085209141923,2.1556944090712884,2.152975823754409,2.1588379781460576,2.1680333097684574,2.157327383890809
12,1.993257247542028,2.0291803920310243,2.044989163495068,2.0499773687069665,2.046455318342045,2.069255373848249,2.0679804798061454,2.0419272322330313
13,1.9922465812357697,2.047923812427589,2.065724643838843,2.0669135734227537,2.0645770497751843,2.048448746627609,2.0631062455122695,2.067815361329261
14,1.9912289738221476,1.9569103529506682,1.975811283223593,1.9675844317344569,1.9727535078307312,1.9823508336305524,1.9899235076349227,1.9756926964208785
15,2.0018737456550197,2.0060207229537492,2.0210003462165624,2.0266843335194884,2.021406963323403,2.0261643851865845,2.0599545953789455,2.0247824366056717
16,1.9920723340437334,2.0045244478490227,2.0201777508093275,2.019975497370824,2.021313284168878,1.9942014267448767,2.0299844113728405,2.0187858191446972
17,1.9930586147629012,1.9712590111700121,1.9897794279208854,1.9936479999763137,1.9882913477942425,1.9820046275076897,2.0274503149058725,1.9857032797280894
18,1.9987984610008567,1.938986200034187,1.956902599175787,1.9662133714540122,1.953863368641976,1.9356445301447602,1.9480489341299843,1.955449295290158
19,1.9921062874517739,1.9934957280249483,2.0054120765269223,2.007616405093681,2.0087953831564787,2.01689175176632,2.024089152853382,2.009712128078799
20,2.0012579352733475,2.0003330828836132,2.017101538114807,2.0260560585320024,2.0160655188567365,2.035389113721737,2.0370384846766854,2.017612008816078
21,1.9953918368194785,2.0574536536013714,2.0709326413913276,2.0704047204391727,2.074607563515655,2.05772730796426,2.0883409392125696,2.0754820656415913
22,1.997405255971521,1.9360658759744716,1.947261227344195,1.956979869684656,1.9514635051806273,1.922847457009304,1.9377384737833125,1.9488566731810928
23,2.003273085122159,1.9458763367533332,1.9636962664526394,1.9607275088531437,1.9614744695953585,1.9559545456231744,1.9783176088722907,1.9694786041987071
24,1.993977119664632,1.98998880133312,2.006683311099955,2.0088357521315365,2.005727377044282,2.0062978785613597,2.0169808460502523,2.0056442332058144
25,1.9971777119590226,1.9971520568278651,2.0198292597748377,2.0153657535419773,2.0136318276978074,2.0034444410778787,2.0249969691615988,2.0213554422769446
26,1.995054112664832,1.9623971511146265,1.9798877361349734,1.9861393811741983,1.9788175413810842,1.9762735756206344,2.002179239116336,1.9846352312508055
27,1.99461378934153,1.971409966187473,1.9857567503011795,1.9848862092392252,1.9870058361657643,2.020561747954159,2.012990735272445,1.9894699632220385
28,2.013668976912045,1.9488284582495168,1.9685313094692165,1.9661997157534739,1.9644484788884229,1.9659156699501041,1.9732859924853339,1.965520644993976
29,1.996075019063432,1.9683590682731007,1.9856651131236118,1.9843358285204997,1.98417000265725,1.9685833072392294,1.9815398157792563,1.981837550923031
30,1.9955402452615842,1.904279331211652,1.9155260712379656,1.923049843559816,1.9199956630702548,1.9255680638260673,1.952363774996001,1.9189198483480228
31,1.9981667403724273,1.9374651380981838,1.9492673668727556,1.9497912331168386,1.9535689625056816,1.9248593133506142,1.9612519654482354,1.9550847521033905
32,1.996647281119591,1.9781006031488404,1.9949897779612102,1.994418854493744,1.9927186502239325,2.004757716901218,2.008404678796556,1.9919428416458704
33,1.9961126146446697,2.073499353882696,2.0886138024097516,2.0998978941637416,2.0922254581285586,2.0971989784546428,2.1190874654827936,2.0942690190146886
