set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,1.9366339016052634,1.8474680696118448,1.864225333759017,1.8661506406026245,1.8633455976589572,1.8608560633406157,1.874168671669158,1.8604391446920443
2,1.9402940657865415,1.872883910367741,1.8919556820723775,1.8933291303539674,1.8879268325383987,1.886737230445042,1.906706329683832,1.8898226498822015
3,1.9334623596247087,1.9862256124727147,2.0031476493453235,2.0119827110579522,2.0029431189978726,2.0065366738256576,2.019509916262993,2.0058868830482566
4,1.9268286676232294,2.0073540033290596,2.021324943646215,2.032514521453945,2.0232974667467087,2.034668057160645,2.0397001517689524,2.027363781592106
5,1.9326451344452342,1.9866440454724135,2.0013380244941086,2.0056743748979584,2.0028876904797546,1.9644658392962226,2.0009471328156203,2.0026444641847823
6,1.93128962616797,1.9052385705107582,1.9221805031940375,1.9237741638137866,1.9206711866048034,1.9253130481870024,1.9316268999186916,1.925800012796383
7,1.930493788749347,1.8472747746698244,1.858605692976526,1.8637198105758765,1.8624182082003626,1.8522633877144459,1.8659210958542862,1.8609224540108762
8,1.9447001999311728,2.0047837195201166,2.024807174486332,2.025628288134338,2.0213983508994193,2.0130823641128153,2.0215018526562667,2.0223778136496233
9,1.934294270129049,1.8139441044172502,1.8320497771721622,1.8364666659044482,1.8285436618835365,1.83127482478803,1.848819493118137,1.8308855073904624
10,1.9418849987247704,1.8276768254662077,1.8401660993819182,1.846065673972739,1.842484782355767,1.8339557708315068,1.8401254415828423,1.8442755825465382
11,1.9287841751267143,1.9095938246526143,1.9224835883049514,1.929638243878504,1.9242494719987326,1.9305994074483372,1.9466817163714913,1.9289057261528366
12,1.945576738055926,1.881845490218883,1.901830188524517,1.9012030938549114,1.8966051719276218,1.890937866953903,1.9094040357262285,1.897672796085673
13,1.9276179359071621,1.9963743229920716,2.0157079949555907,2.016615602846715,2.0124640266835443,2.0217294893032696,2.0277197068324875,2.0158649569274574
14,1.9410962455906329,1.9216337750972095,1.935510498719013,1.940325646412995,1.93681215604588,1.8927119989298622,1.9300134540418286,1.9388073083630097
15,1.9256571159998557,1.9093046609985238,1.9219782470995854,1.9253177234231265,1.9240410036582793,1.929970828291809,1.9297874468885665,1.9210491964615906
16,1.9290249467344145,2.01104730443167,2.024262743155182,2.032127473820188,2.0270106954922897,2.0395482816544916,2.0456726714504625,2.026675817727407
17,1.9304684973182784,1.7951923333818796,1.8095106061092403,1.8112804654826171,1.809253309033921,1.7721753442197037,1.822617063382441,1.8151238800937581
18,1.9279026558572585,1.9593245183133936,1.978081090603798,1.9776935975592211,1.9749956142347018,1.9594208353667955,1.9835396801668628,1.9812616798638214
19,1.9310712835434163,1.8478863936169385,1.86524425528513,1.8661409022306592,1.86228786556218,1.8644236977662587,1.8628811567548347,1.8642170336878052
20,1.930106055774838,1.9223213391657759,1.935384982903197,1.9426375119080885,1.9372195309504767,1.9335049827379893,1.9410454681671792,1.938309920382852
21,1.9417938889656163,1.7995324567946127,1.8152026566749093,1.8167129539168414,1.813740047380159,1.8068164585906905,1.8029930281149231,1.814163810773927
22,1.9339756865992832,1.7882163667248938,1.8011192567710532,1.8048549319042175,1.8024659098515659,1.8095428595026737,1.8158849089995426,1.7988117798302012
23,1.9300520620059538,1.8901053610755902,1.9034889879471024,1.9030823365174911,1.9050029685144454,1.902347875240418,1.9215582314239597,1.9036160112292448
24,1.94964709544495,1.7965075273706346,1.809029611482815,1.8090265527640106,1.8106696653536172,1.7783943482977822,1.8262783868586137,1.81674996999218
25,1.9331537300657375,1.92400023989673,1.937329277614979,1.9428331581418985,1.9395971441206492,1.974115482008802,1.9869010071836501,1.94733741818252
26,1.9334256446686897,1.8179106603822508,1.8301525698278467,1.835507014785167,1.8325102776365996,1.8176361443537965,1.845457261556306,1.8365643361429047
27,1.9439968196431892,1.9058664697090955,1.919135541546513,1.922387661802357,1.9211020858488106,1.937440362644452,1.9451046639069918,1.92464156301214
28,1.933032881983664,1.854271561159033,1.8640907364482682,1.869278348351877,1.869050740759339,1.8519012883784984,1.8822228910284693,1.8675135270126981
29,1.9289373026229215,1.848781777603093,1.859560461992571,1.8717561487300174,1.8629307932967734,1.8579501732086023,1.8726855017524406,1.865348781082548
30,1.9323653989306124,1.9324466527634017,1.9489607057394722,1.9505112133247389,1.9467698184905518,1.932844493989719,1.9609163481208007,1.9464161806809452
31,1.9435830748590517,2.0391057976449374,2.0494171610127347,2.058249474003214,2.0541152013949193,2.0547895480640985,2.066538515054639,2.055527208022042
32,1.9286897880706912,1.8961095382090873,1.9123642731722834,1.9167659722463757,1.9116743275465218,1.9052796777159906,1.9195500595788089,1.9115016400610512
33,1.9388411325004065,1.922195989901409,1.9360910417270616,1.949778265192887,1.937250604689308,1.9106750778310708,1.9333299696411401,1.9393893494836412
34,1.927459352978129,1.939180624763319,1.9575103068127622,1.9547711841056044,1.9553321850879286,1.953905205252737,1.9530870718913875,1.95405960136341
35,1.9282348521738066,1.9022307804288534,1.9136566212934798,1.9239579038705206,1.917984441271131,1.9370348352299365,1.9604009282468644,1.9150884884952544
36,1.9431917538251364,2.031913219754727,2.050074920059357,2.056808347812258,2.048729348466947,2.0662547072401893,2.0550728345427838,2.048604795997623
37,1.9359268408404369,1.9390889542000727,1.9573082134179554,1.960413118945136,1.955033848175377,1.938609946984679,1.9521736392962117,1.9531401453066077
38,1.927777191924573,1.9927651591715063,2.0060506517006766,2.006519361599703,2.009609937428821,2.030695054119169,2.0452854917842216,2.013036300359112
39,1.931010733125264,1.8742600362126078,1.8901279363039267,1.8954728837748174,1.88927792425017,1.8648336197866,1.9011959454443013,1.888217080880543
40,1.93969569557631,1.9758433367437633,1.9950213177099592,2.0024158029965937,1.9929684353133403,2.0054590078741064,2.045887028635852,1.9943565499786329
41,1.9496066126498393,1.8861650016432878,1.9014009457957712,1.9024539866945291,1.9014018457511115,1.894198987095531,1.9263070229938075,1.8989200391182857
42,1.9292515009985833,1.9295428374515984,1.949536760599787,1.953608012880104,1.9460719834489764,1.9276964861247674,1.939956808012657,1.9439626702288468
43,1.936191587490469,1.8801399230119649,1.9022421521200708,1.9007737837362122,1.8955504236111502,1.878676121740666,1.8972522528216322,1.898721461478016
44,1.9295853063445552,1.9885880332804964,2.0006197065354634,2.011694194127992,2.0056016451410095,2.035895993863642,2.0328702798417604,2.0107211649300165
45,1.9282252161003213,1.8596153531601596,1.8739696460725828,1.8752231049212147,1.8742945822114319,1.8670708319216403,1.8964765416260296,1.876575470479564
46,1.9292505731947724,1.9460135691533975,1.9604658664536119,1.966145128232371,1.9624191742023491,1.9411088244522676,1.965407088392498,1.9641540236149948
47,1.937247108066251,1.9182591533657298,1.9378034653251288,1.9404274046400387,1.9335284243331992,1.9250979949854397,1.9541299144482351,1.9373235022460593
48,1.9488235556551707,1.8848424170207942,1.9012115682923973,1.8988140737098502,1.900576234403057,1.8945769399465224,1.9045259860879542,1.9001778204617323
49,1.9263895618655784,1.9042865345496574,1.9227411965203705,1.9236668648342792,1.9197826879025481,1.9019858866712018,1.915033432066645,1.9181746798829116
50,1.9335700370902729,1.8781252610229602,1.8975635124393562,1.8995739845137112,1.893539640632584,1.9105359298472118,1.9279280527153433,1.8941609568734545
51,1.9357165160463194,1.8730522228392381,1.8892450585561271,1.8941408573497884,1.888294493269192,1.8720998664849513,1.8934985917978902,1.8854660986954912
52,1.9288959784310993,1.8307287120283708,1.8446837003581844,1.852720901412533,1.8460310707612377,1.8482129945719594,1.8434073830030313,1.8501197713996005
53,1.9331237008375344,1.876583812922227,1.8931840245403855,1.8928139744449248,1.891951939880997,1.9054772844156673,1.9267920061480743,1.8933325760421096
54,1.9265532194318022,1.8802789001635314,1.8971320423670848,1.8991584650229325,1.8960505327766015,1.8953632922195978,1.917189938739494,1.89537859146874
55,1.9266854773892717,1.962189942267222,1.9747365249002509,1.9832781873568064,1.9784277492884421,1.9628357264891856,1.98260828673191,1.9808227142776302
56,1.9418012319671867,1.9023761441136315,1.913943427450746,1.9183404842949119,1.9177848619324211,1.915726501877257,1.928735161015107,1.9172785705108362
57,1.9300444184107366,1.9054439378502734,1.91741354651586,1.9178467921473665,1.9210069338718383,1.9181817187630115,1.9461194036283744,1.9249298098330438
58,1.927953327026245,1.9755771206073385,1.9915687728764662,1.993574237946545,1.9905354182740311,1.9780515497495559,1.9904901911735513,1.9892783408872288
59,1.9310718734786638,1.9637407138023346,1.9800745934958466,1.9853952925153076,1.9796593836456366,1.9611007003528789,1.9743934718511686,1.9808707429527637
60,1.9308600484610632,1.9106083858234193,1.923404511030109,1.9217682769815567,1.925319301677677,1.9363885201833828,1.947382318750182,1.9271149167712434
61,1.938702447231239,1.9307984358735786,1.9536080453600813,1.9470031873033848,1.9468228784495807,1.9487633352639608,1.9521752646652637,1.9470626983122943
62,1.9278411535907738,1.9191922174553375,1.9352876985687222,1.937751727994605,1.9359177746255776,1.9369395737146253,1.9489921912639632,1.936944333350631
63,1.9480884487050003,1.9394040086764759,1.9561289615196717,1.9593812852502386,1.9550725706787864,1.9604166253284374,1.9496632339096285,1.9571687016788841
64,1.9266582073247935,1.934459821587001,1.9481334168054376,1.951349102139205,1.9503201634121339,1.9545802419970324,1.9686363080791969,1.9508479092612894
65,1.9408214168164069,1.865024884165455,1.880801732654564,1.887762895381823,1.8810273382919087,1.8651303647240394,1.8895615996511042,1.8808166610542025
66,1.9270472995199641,1.8772775777600323,1.8945215790622572,1.8971733649339388,1.8928112123408722,1.8767044728599562,1.899286431450564,1.8990224646772258
67,1.9308416573733036,1.978977658990473,1.9935859248817411,1.9985774495928514,1.9950354642971615,2.013926177346178,2.01150448029671,1.9992991328789795
68,1.9385221941891688,1.9634811929911458,1.974877686879051,1.9804371152610194,1.9799232325173448,1.97325069266308,1.9921036772258887,1.9799974668135003
69,1.9299251925832617,1.9366205855652796,1.9538345055312645,1.9517556677515162,1.9522270123507108,1.9370982063599251,1.9598987332967828,1.9534662280922144
70,1.928400830738318,1.9342381833263367,1.9481438594031513,1.951845702419515,1.9488823107058235,1.9579582324874698,1.9804698266259486,1.9526544819959146
71,1.9275957613396157,1.877606814639115,1.8950848398455087,1.8960466366951918,1.8927910103032124,1.8707237673332489,1.8892671476037792,1.8901843966925826
72,1.9315964784750577,1.9017709286696582,1.9181747618751621,1.9208929967146038,1.9170839713967571,1.943838966779959,1.9497492280995794,1.9165354122049114
73,1.95137633592142,1.9532386259272925,1.9771751531751853,1.96537443687374,1.9691156138443588,1.972999849539603,1.9725583899114059,1.9689723090695723
74,1.9362989185559483,1.9006569604143555,1.9073783813475522,1.9166496696568651,1.915521362990485,1.9148424903981505,1.927792959123059,1.916615840919515
75,1.949464229085775,1.9684481549598827,1.9849856180127279,1.985188265991321,1.98394015345062,1.974068651167139,1.9866690748226474,1.9852717254211316
76,1.930761757070025,1.9216854661892178,1.9413006703979059,1.9402176703316003,1.9373747638889063,1.9269136115808814,1.9458160905701547,1.9331737629912136
77,1.9324051591250084,1.979018503160235,1.990962399015538,1.9949116773122126,1.9958077523323967,2.001034610034305,2.0011029609178883,1.9891884738931034
78,1.9324391632208748,1.8489274413281023,1.8620040092275898,1.8651966317395117,1.8633949208158431,1.8591007748391752,1.8756415556251607,1.8622763836630531
