set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,1.7839069164012136,1.7782706862919817,1.798002218415397,1.804509482846364,1.7961171875492459,1.791469871503641,1.7955256123529058,1.7963972053594934
2,1.7659679876341254,1.7662713873027636,1.7911624393087848,1.789639880301057,1.7835726993910992,1.7924619627992948,1.7860294324836448,1.7853926365837078
3,1.7702099497391326,1.7930080000737276,1.8086980090538316,1.813672449076316,1.8119483224180815,1.810689800155493,1.8418416207714996,1.8115111314077643
4,1.7707384018620846,1.706963611401647,1.7285496601757064,1.7237938164351942,1.724170818434038,1.7257056442760497,1.7465479657846015,1.7271163545830157
5,1.7699154199376395,1.7780067032605331,1.7952795658791998,1.796676852525012,1.794815564788596,1.7990448451142846,1.8098096186626589,1.7980587137391255
6,1.7639470059321798,1.7623324692246556,1.7808916848089553,1.7856870717960072,1.7805326861078834,1.787980746324781,1.7895768327943282,1.7809653902469742
7,1.7683171667496869,1.7653724982752375,1.7853392218642834,1.7884781042138969,1.781210365623489,1.7911802172191733,1.8339888163765636,1.7882902190431167
8,1.7682891994100853,1.7490081583312698,1.765285358270747,1.7693283625608949,1.7662058862236318,1.748879980806243,1.7673259616117067,1.7674327780191068
9,1.7680403050026468,1.630214952923959,1.6455797533213614,1.6503349441441142,1.6461816420132185,1.6418038582056331,1.6574196168835724,1.6466960478538084
10,1.789093218437677,1.6917077482412526,1.7100110213421034,1.7133973503788809,1.7072289647026628,1.6825470322210576,1.734082478115864,1.7038988705223328
11,1.764389264796442,1.6982661883516588,1.7182185851706897,1.72289211188033,1.7157545424644403,1.725177445993225,1.7246576089323253,1.710185176672682
12,1.7941711119587058,1.849082744590657,1.8707704497426765,1.877077686846158,1.8674852877600574,1.864650478214574,1.8752699186301691,1.87953694250322
13,1.7823065658525226,1.9044477982027372,1.9364543554749325,1.9279836917014659,1.9242255135507087,1.9010775369837283,1.9245904389673079,1.922415123043236
14,1.7627921212256545,1.8098349843315942,1.826921079995246,1.829623403552816,1.8275808043274036,1.8340926680332177,1.852620280789922,1.8324853087773638
15,1.7678112547597,1.7833771229363533,1.8028184043454958,1.8121152691590918,1.8002471799569106,1.7887417461646125,1.8144488621502661,1.79662886039367
16,1.7666176134705067,1.742785026869942,1.7550913766014349,1.7612362676484603,1.759427783362321,1.7696063999605487,1.7848726183763226,1.7670229808229967
17,1.7720800345677679,1.763022278228414,1.783546397837871,1.7832222876896864,1.7808351056111003,1.7616080849877258,1.7900887694786454,1.774626915557445
18,1.7744950864497873,1.7239796534104412,1.7396834715463203,1.7398452892663623,1.7402590844552694,1.7698286841313473,1.7791157094484045,1.747692362272168
19,1.770079185549208,1.6729727708468192,1.6958904839764097,1.690380196258605,1.6900570868792748,1.6617334842126061,1.7077865597590745,1.7053790603877597
20,1.790499332244665,1.7185374548161994,1.7308506722857602,1.7375837116100152,1.7341924952295271,1.7600448185786477,1.7558275347450394,1.7454993087865946
21,1.7752515766006252,1.7058671420447469,1.7227446368386354,1.7278773349088552,1.7244613499892771,1.6987634839600414,1.72657244309178,1.72515610324727
22,1.7675539280311232,1.653171172288805,1.6657566046904349,1.6756301431235079,1.6682908637625282,1.6931140254615242,1.7071673979366824,1.6729917509644785
23,1.7642345322968598,1.7738499592238754,1.7937429486212073,1.8015141625531756,1.7915779599429396,1.7824277965622546,1.8296891345074624,1.790977374549719
24,1.7783329558949743,1.802441546319881,1.8193724823282171,1.8154101047488969,1.8204710008659581,1.7736405527988959,1.809953364526403,1.821840616469641
25,1.7706424435614898,1.770412985197926,1.8080085799074992,1.7939771191450407,1.7891729715746065,1.76907580981785,1.8199260603746772,1.7970884712378663
