set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,0.5022238983687254,0.4930009543430201,0.5006103987709354,0.5001844564544307,0.4996976912529254,0.5131072139263839,0.5189789141328989,0.5033156743083804
2,0.5206856359428979,0.47842204458788035,0.48456158305881203,0.4840858552513082,0.48527627708543675,0.48693014490315756,0.49120047466120065,0.4879415815323955
3,0.5102742405557681,0.46683153933384675,0.4727271929763019,0.47456925404156947,0.4730482268206184,0.46486742265616476,0.4814364780324606,0.4775386884987128
4,0.4987396002864029,0.5134295359210473,0.5220010469902289,0.5233642179389169,0.5207999041786278,0.5663430629666124,0.5755532321919348,0.5281944806903363
5,0.49996356115735885,0.4681288462724578,0.4748420745051882,0.47694805883336866,0.4751349029797233,0.46927396998417387,0.4834399374383852,0.4781377061170428
6,0.527664226802431,0.4534891495424064,0.45777484681549613,0.46210381204421097,0.4602616981052418,0.4693627647388149,0.4689561809260586,0.4650106311470422
7,0.5035806674656589,0.48250449531573963,0.4892992223938453,0.49069700240004827,0.4892612430593259,0.501715668687283,0.5022959814238153,0.49075379575266104
8,0.49887594905473304,0.5061785739186285,0.5132101212824598,0.5156376892408278,0.5135149589692541,0.5233417287312307,0.5280188372402947,0.5187581260785573
9,0.5065410540527273,0.48656111845802746,0.49301391310749126,0.49775858607377943,0.49376168464699455,0.4899900159350101,0.5019212041785135,0.4973514232349213
10,0.5018418818397963,0.49413518461949585,0.5025397157339585,0.5006926767272485,0.5008788658555942,0.5091335187126381,0.5220254185581825,0.5047320376095229
