set_number,err_true,err_train,err_cv,err_loo,err_grid_buffer,err_sloo
1,1.76205728632205,1.7248494618870733,1.7430328010767662,1.7426452609195056,1.7422362487055896,1.745326424650811
2,1.774756801695696,1.6008194142095227,1.617229439937998,1.6156162577958346,1.6068114026233047,1.61280763254377
3,1.772346400209156,1.8577377210026946,1.871569885786424,1.874966803115444,1.8603365600060136,1.8818959427796
4,1.7784647565687217,1.658629834765115,1.671855882774578,1.673830585564864,1.6640628839679188,1.6720165691336688
5,1.7647749525548473,1.7299511322164443,1.7467277326285358,1.748388029062692,1.7139313778391678,1.758730845394046
6,1.7634618765546588,1.7966588277598647,1.81554261597246,1.814511514339267,1.8190541184628448,1.8199966557596856
7,1.7650546886482887,1.7172004990894347,1.7349220181769276,1.732928633859128,1.7198386967363475,1.737513106206847
8,1.7808116472823576,1.797676922906231,1.8234524962279457,1.8161824247444414,1.8125423199196053,1.8163963140699202
9,1.7781174566752913,1.7567567108543307,1.7759718594085483,1.773689406717396,1.7506697275250211,1.7810607279346655
10,1.7705060743176573,1.6378545331170793,1.6546922516431657,1.6549940991578318,1.650916139295441,1.6567903126041097
11,1.7851967524672752,1.8014272734668886,1.816189206778757,1.8182257973293814,1.809877586127493,1.8191486376757042
12,1.768516317343964,1.7099472499716963,1.7268400072002765,1.7260426138885914,1.7369130114089153,1.7354923237954902
13,1.774485704891564,1.8096190532461567,1.8361083917324228,1.8267270937576618,1.777367129972545,1.8289119739699022
14,1.7697055376723356,1.7479546420348318,1.7687486413514482,1.7643378198277835,1.7707011911640385,1.7688045200305058
15,1.7735059899794823,1.7503090652621642,1.7664308295154483,1.767574290152164,1.7661194578537152,1.7693258401778547
16,1.769328386494267,1.7399444000155633,1.7539592220875955,1.7558927789053091,1.767996096615339,1.7626058158319715
17,1.763591250401015,1.6762228381922764,1.6922716482367917,1.693036458225979,1.6887105488288272,1.7046053855383203
18,1.7662772580276893,1.8463395924525106,1.8665072951037205,1.8634451526673326,1.876181477314793,1.874702150867366
19,1.789313146647348,1.7036480389186217,1.7199200646259605,1.7203170882609624,1.711861139891189,1.7243271399025983
20,1.7716834519991804,1.8935177592999612,1.9180714180636282,1.9134971386488877,1.8592849125138955,1.917476660095119
21,1.7971357994282595,1.731542346232375,1.7526989228342296,1.747187449472051,1.7435142158409047,1.750602426929994
22,1.7662592360814835,1.7659075355738798,1.7915508193462595,1.7825272361150637,1.8087675718941814,1.7882763277599996
23,1.7830956349752065,1.728728806428615,1.746760393205447,1.7436639235906717,1.755832824618544,1.7463543247898596
24,1.7631942924237745,1.7633275946379576,1.779036626262186,1.7801895465525115,1.785110829256836,1.780999986223046
25,1.7653509125912308,1.8479682391245427,1.860546800345122,1.8674832688664516,1.8487423554283764,1.8723447041410237
26,1.7750116899956048,1.8082090249137908,1.831692949373607,1.8255705019739066,1.8253298741208277,1.8375388143488602
27,1.7683936737121877,1.7553717669704876,1.7700062767201017,1.7720786073945636,1.7759887973651007,1.7811552897641534
28,1.7707829956396217,1.5873480870210426,1.60060994393868,1.6014637534703553,1.6121467998294696,1.6067396676252295
29,1.777479689582899,1.7595752305913148,1.773869942840479,1.7765985820036692,1.758836816540788,1.7745290379656526
30,1.7689552327948224,1.718146589395545,1.7315235452653421,1.734269641852178,1.7211833976262123,1.72955136493854
31,1.7736821737593302,1.686462465881885,1.7031510111562853,1.7021757986528976,1.6986031272701734,1.70342519279076
32,1.7672648851825445,1.739935730538048,1.7569149886103432,1.755789315097955,1.7605540835625422,1.756031912578177
33,1.775594612775759,1.7945202123368529,1.8172774722515663,1.8120232628636648,1.8082443538255393,1.8136797139692602
34,1.763891045297233,1.8278026469035147,1.8448855510432662,1.8458962799020295,1.8643652736454859,1.8492019093072702
35,1.7825259247376062,1.7742993746380358,1.7926111183699733,1.79269995663672,1.7984333652205804,1.7989308591108444
36,1.7741193644844975,1.7200465848029065,1.7381314111153017,1.739223771148411,1.6982016947468161,1.7485139966199257
37,1.7649678491922423,1.8256659993839728,1.845308752548679,1.8429881105906472,1.8493256296074567,1.847853107772217
38,1.7640063026072816,1.8026055076134528,1.8221335098528026,1.820371104607275,1.7951675582161801,1.821097655529405
39,1.7725316143990728,1.7338550387930836,1.7533850291886417,1.7501118795325008,1.7836475738447042,1.7480088225931802
40,1.7620401840953521,1.7453989450157399,1.7652794960007345,1.7624640567018812,1.7356371762219385,1.769716360814507
41,1.766410299578677,1.7323303707598294,1.7513937111120745,1.74919972195149,1.748083259846531,1.7562218470733144
42,1.7865986805384113,1.669556940058916,1.6880181931073222,1.6850978144033923,1.6667428018071242,1.6843091530205827
43,1.7741569800723465,1.8029902316404585,1.821361164621002,1.8209055860034464,1.8318935956667433,1.8269239376902797
44,1.76731662822456,1.816896012313925,1.8315006196458745,1.8355560867999963,1.803056525249277,1.8414013067896875
45,1.7690691792299644,1.7775561441719077,1.793794177339834,1.7946608833019295,1.8003721887052397,1.7979740200703158
46,1.7649114218321669,1.7414538622246276,1.7580440937302628,1.7579263248204187,1.7749127840433723,1.76322706439038
47,1.7651894237339532,1.768754180788844,1.7865941833465158,1.7857352647462459,1.8041891992000025,1.794429826606436
48,1.7653486380317265,1.6611789282102183,1.6780992680949196,1.6760302790360955,1.6573111590426386,1.682118965272465
49,1.778367421296903,1.6349030321579856,1.6576318207360825,1.6515849702299592,1.639671806234725,1.6550053374774134
50,1.7794848816635334,1.7459142492443172,1.7627222811895844,1.7628481650739252,1.7598438598679056,1.7699750680983901
51,1.7740017180341907,1.7036172483311705,1.723738637293134,1.7206148575482043,1.6974533621497272,1.7197817481190496
52,1.7647923064167192,1.84861979424286,1.8726348313182024,1.866970240294886,1.858120301255404,1.8664148889658738
53,1.7806466864353636,1.7520045863000417,1.76681564487063,1.7691379203202597,1.7527428920023949,1.7814098420493734
54,1.7672514490309086,1.8120369068979305,1.8328822396647901,1.8289817362654366,1.8214561443959398,1.8275614226705585
55,1.7711143930080764,1.725970312232805,1.7378059110047732,1.7422201523377228,1.755972216156571,1.7478338989715605
56,1.7681564026579095,1.7299703986516317,1.7439088483508232,1.7457984761077858,1.7438673054377825,1.7495644471256122
57,1.78879935532818,1.6608930579005632,1.6747689565454191,1.6779198975797414,1.6888345952959132,1.6789381929424982
58,1.7843602909752785,1.706453476695983,1.7237905979937806,1.7232378133516104,1.7294465208897918,1.733433310649199
59,1.7745302942503083,1.7514254755117653,1.7756479482333758,1.7689250962466272,1.7479686754172015,1.7701229812699553
60,1.7647041483288484,1.705624667334341,1.7291386115370244,1.7222681125741162,1.7201596758203352,1.723423693238072
61,1.7695628595684803,1.7794377712391531,1.7966988685850582,1.797009687273869,1.7812304717883238,1.80075694991308
62,1.78417213626384,1.840084698337853,1.8597882610117702,1.8574017129793416,1.841405676268192,1.854730245844874
63,1.7690434837858122,1.6812857354517954,1.6938260329506682,1.6982908395489904,1.7023633794555977,1.704847754628443
64,1.772320098910637,1.807048552547462,1.8227579059826224,1.824238425715002,1.8431786230067957,1.8282504108867732
65,1.7738718208720576,1.7691569184065243,1.7855522169762876,1.7851492037507637,1.792442304745395,1.7841558682077228
66,1.7855388378871688,1.587891698400213,1.6027964634819643,1.602493738753925,1.5932307282533844,1.6094513444986587
67,1.7835043551797358,1.774955262802072,1.7919286636322986,1.7939397642571693,1.7922173915362591,1.7948979710318285
68,1.7655481158390858,1.8082599799636203,1.8334556173504464,1.8253582590192319,1.8189163336681509,1.828770140939635
69,1.7823415213347105,1.7915544399693113,1.8049159565579285,1.8090479898212888,1.7977741997213315,1.8104604478681008
70,1.7801589987354718,1.679268378201597,1.6953520416566372,1.6963868424859279,1.6970385606326261,1.7029910597231104
71,1.77551866747588,1.826440503947198,1.8429971532232805,1.8451059594159225,1.8435269513988841,1.8511281064327303
72,1.7771578779598793,1.6789303372615298,1.6921598418970287,1.694003359778234,1.6971161695894676,1.6981875705450613
73,1.7830263879572255,1.7949867798587542,1.8202391820252832,1.8117842592334261,1.8290300246488365,1.817178363865634
74,1.7755331894144,1.6744700766591145,1.6941700504297499,1.690810105467614,1.666808490511377,1.6930632195517352
75,1.7698609706660804,1.792916363105149,1.8043050573852326,1.8089014270641923,1.7899341830597542,1.8105633085007318
76,1.773498026766832,1.8663269540243983,1.8834820813765207,1.884984487766686,1.8784356014284487,1.8905761844755835
77,1.7610361563516406,1.7624708458304983,1.7854883755803541,1.780011971985002,1.7673183974091786,1.7841495868408725
78,1.7747968232850149,1.7278611412811427,1.7418801435243767,1.7445001264080844,1.7299987780188713,1.7576859683515884
79,1.7756250981829735,1.6698209941793234,1.6860169264001938,1.6858321402985872,1.7123866245178703,1.6914994424918544
80,1.7807378264086884,1.6855571823012399,1.7060667788872732,1.7024909787718498,1.7264082920199821,1.7039055593930812
81,1.77189080308728,1.6872339211072958,1.7042993907455946,1.70309721412185,1.6885389246985252,1.7067830737865854
82,1.776816204658362,1.8118899919481346,1.8291343850747606,1.8285219963704635,1.8424562520252936,1.8434356087758768
83,1.7694827882869297,1.7514257633616697,1.7711116329179668,1.7684495844945471,1.73356854714869,1.7782217322306721
84,1.7820378268020434,1.8890430501527165,1.9132185948753822,1.907116764109379,1.8926783741528503,1.906481000686064
85,1.7701470085142992,1.7901126287520297,1.8080776645083008,1.8072418506248746,1.778975325216838,1.8143240791152655
86,1.7688832619260038,1.7125208626706663,1.7315232053999865,1.7289937207158066,1.7364670998269125,1.7333148528078248
87,1.7656693945320496,1.7478769904569207,1.762931146760083,1.7654613372950634,1.7725649413474573,1.7692865746950523
88,1.7623063453171306,1.7625668457354196,1.7772776066826423,1.7794895014677792,1.7596774587135364,1.7809289174452232
89,1.7660192147704867,1.7336104003677624,1.7484134779097207,1.7496643259167195,1.7547429370917358,1.7509932915288664
90,1.7640982186177168,1.8657472216018505,1.881274341498,1.88634245854746,1.855862335895821,1.8977282393367503
91,1.7713925011520653,1.897003873300829,1.9227688146289663,1.9169841959093021,1.9504648131634061,1.9215958828049426
92,1.7952621967642495,1.7270493628601276,1.7461543451374464,1.7444210615986455,1.7493665452417928,1.7463948671684129
93,1.7700481662261027,1.6922267894376206,1.7120893092210356,1.708566996146879,1.6797237950096136,1.7072827285939143
94,1.7655537096894576,1.7099056885642165,1.727505609178673,1.7254838608098744,1.7355173839528737,1.729628834693613
95,1.7959676302316918,1.690800637513109,1.706267188981607,1.707583771681502,1.7005644393806514,1.710595365036773
96,1.7757807255066973,1.602605552165234,1.6208344916291375,1.6185053884039085,1.6087953649362976,1.6205578656140296
97,1.8022574477377185,1.8153487489166649,1.8300417490023657,1.8318116670748186,1.8155251769503735,1.8314494423102077
98,1.7750089686251518,1.6564777943431799,1.6727350318599596,1.6735983224383064,1.6527481859776971,1.6809735641911658
99,1.8056257901118897,1.6663975350281532,1.68745983124407,1.6826244524610439,1.6640864044327959,1.6870195988902357
100,1.7656450478017325,1.7449928917778184,1.7617185612424902,1.7615917645102646,1.7459333320136445,1.7667786517724857
