set_number,err_true,err_train,err_cv,err_loo,err_grid_buffer,err_sloo
1,1.7040373423424404,1.6279456570372335,1.645741844348657,1.643095436680451,1.6558894723222273,1.6716171125467374
2,1.7257461704584312,1.6615191380413414,1.6808969514973617,1.6771903673358786,1.7087776284078708,1.711884463709045
3,1.7314257998919662,1.5652139158854597,1.581435562502433,1.5798012742839753,1.594301617664078,1.6058557769361212
4,2.0033213248535606,1.720444924204533,1.7360781778846484,1.7351449226803857,1.782146875514957,1.7721952182632628
5,1.691673222327637,1.556130956173824,1.5725984701146156,1.5714579193040137,1.617875853765815,1.6191738956466926
6,1.7627119101906237,1.4687236533293442,1.4866155187544319,1.4825997311175607,1.5785340759665987,1.5124704853721092
7,1.6909198771914886,1.618361501923648,1.63301914358066,1.6347562229184038,1.682494138183115,1.6921543317485142
8,1.7272346450492557,1.681303489600048,1.7030646576143738,1.6974291597231297,1.744327378584016,1.768645609828057
9,1.738973727866928,1.5681284745415673,1.5808609189535046,1.583619518099592,1.6540491032026927,1.6108483121080004
10,1.7809076556022414,1.5317385115303563,1.5495413828522593,1.5459449748843854,1.570334251137094,1.5874764822490794
11,1.7257728955895388,1.760030376102352,1.7726783851381296,1.7754763248156842,1.8215775283215563,1.8256800180693242
12,1.7043561047159814,1.607600869597643,1.626775249198095,1.6240486247352284,1.6824333808272793,1.6420031274091207
13,1.7874357056658992,1.4663656606448183,1.4828410498509248,1.4803063859223395,1.5262310439393731,1.5155666705897226
14,1.773605496044092,1.8854540214474336,1.9036681086972367,1.9029610743372098,2.251443330731355,1.9755833093244275
15,1.9156553638958744,1.783532315876446,1.7964528665602915,1.8002121315599888,1.949227386015278,1.88194919691205
16,1.9017670359411043,1.4115099566769684,1.4209002137507272,1.4238071479865688,1.5223268064971145,1.4653400215960557
17,1.7916581046387179,1.7049129272154315,1.7244437430637298,1.7206205622888087,1.9246074627299328,1.8048824351063295
18,1.7244568383630001,1.694981887403136,1.717043752983676,1.711501243909806,1.9529332233831995,1.7800733623386398
19,1.7190917315135945,1.656597521366245,1.6705100412324183,1.6727823259451415,1.8285569544813485,1.7312294690336503
20,1.8136741576661737,1.5617219807985614,1.5786326423187031,1.5770188376098269,1.6208581137132037,1.6226762488152906
21,1.7915419417972143,1.6739412558985014,1.6863847563149457,1.6889566532453555,1.7461200198500135,1.7217667598676207
22,1.8279895796972037,1.393164508083142,1.4041009333892773,1.4052158989779828,1.391058683983549,1.4224774210621847
23,1.7177869370336676,1.588855028793443,1.6006792957809934,1.6043209034941088,1.633146180815462,1.6275845561378859
24,1.7520874138926743,1.5778801093729433,1.5925454679954603,1.5922136347997746,1.6089357110245663,1.6127524070801134
25,1.717001867894601,1.6912698936115254,1.7079464605841361,1.7068555605180666,1.810170825213544,1.7598255104103044
26,1.764794081344223,1.4731823262699293,1.4840607659047513,1.4861121504434465,1.4587722560209935,1.497023052906379
27,1.9062553428927955,1.470468214103043,1.4829389189301836,1.4846443629303954,1.5141758255430846,1.5300453350493677
28,1.7060339585182338,1.5469953455308523,1.5593524864755124,1.5617312008017252,1.5902999548665921,1.5877472788425555
29,1.7106986507454682,1.6500433567868842,1.6657952363194062,1.664973572404216,1.8047568202616062,1.7177412964447014
30,1.7063801693931477,1.7554126548958087,1.774119858502888,1.7754582395975729,2.1062845545747,1.8982452536045096
31,1.8400257243305465,1.6177967251453758,1.6310470471270462,1.6330306723488555,1.7582191496728725,1.7436117381380942
32,1.7621060876141308,1.4981963118542356,1.5100419554763067,1.511963178961707,1.5233514806972703,1.5495151129205058
33,1.7524817265749186,1.7678943119158894,1.7839810514708985,1.7834346911771821,1.9509310060856058,1.8357471080831345
34,1.7050704876160763,1.6918778341458423,1.705004676451206,1.7072385278271778,1.811479418006473,1.7547617581660955
35,1.7334753134843675,1.6211380893383915,1.6387983138631512,1.6382822517758415,1.6908551515010042,1.6776319175999164
36,1.6908037159013845,1.6853473317655556,1.699395585664155,1.700443284464652,1.8276854621855418,1.7746290270034084
37,2.0046980806567882,1.7194164878644522,1.7357465943766288,1.73465476278745,2.0267604326532243,1.7883098175875722
38,1.7078410193317228,1.6486714009110717,1.6650437428174585,1.6659467829935843,1.7995187095272305,1.7404809224585622
39,1.705281447509558,1.7459491971026389,1.763770810868408,1.7644028614559366,1.8143028595278934,1.8106373278262275
40,1.699652632218224,1.69003267143204,1.7040484352484446,1.7065726563824914,1.8587294333804996,1.780545739324459
41,1.7361578835669578,1.7528538439089996,1.7714042995550494,1.7700919755517472,1.8145808304634017,1.825125131093954
42,1.7143565299277508,1.4623371772988063,1.473934669713348,1.4759199387490984,1.6613243511297935,1.5084024887153642
43,2.212154818135405,1.7261841931721065,1.743858645342679,1.741667406550944,1.7564747909147413,1.7755166186953564
44,1.819445740024132,1.7104989429609367,1.7260441117514331,1.7265841087012108,1.8605836784266359,1.794870387060197
45,1.7264660466803408,1.630810232486881,1.6454694020868477,1.6457787330093585,1.6508961780335365,1.7088809545352812
46,1.7234217727893077,1.6072917375611777,1.6203978075092924,1.622975525509188,1.7126309689622539,1.68219194439912
47,1.785607129286363,1.6327244239154663,1.6531376312372317,1.6486043600947973,1.8142369443118036,1.7179948422739555
48,1.9685928657395428,1.8365825731897005,1.8560237007754339,1.853372506595572,2.0755758287646975,2.0054933702056483
49,1.7614076410089499,1.5252222368499155,1.5383581493531613,1.5383885202721301,1.6789909243510843,1.583613969505542
50,1.7060702770190628,1.6197645776390286,1.635017571303168,1.636146369749667,1.7502452030137947,1.6901034785593472
51,1.724876906793551,1.583954377803744,1.6015025126689133,1.5975139509004024,1.6992105958226096,1.6384575569042084
52,1.7520165829299346,1.444082288335021,1.4586208184719525,1.4572224347558271,1.4729895856689488,1.4798797693088084
53,1.8086910842987252,1.7483781393222693,1.75959456618845,1.7642763642311483,1.858161493208433,1.831937269919154
54,1.730774063172667,1.6275218878842623,1.643119903766778,1.6438708919855702,1.7311738410486253,1.7466178514583646
55,1.7884416528807592,1.7914556033226121,1.8115569530014226,1.8087108617882193,2.203493885204776,2.016222585610026
56,1.752003435597291,1.467246102445268,1.478418431097821,1.4795432009491614,1.4879466847526466,1.5038093089111106
57,2.1389015444888866,1.7796316720802285,1.7969610135557148,1.7964979478037564,2.0611521104371167,1.885196851040413
