set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,1.7734062512457482,1.797968866077325,1.8213767065031405,1.820952280207259,1.8161163531752058,1.8109399601765628,1.8284515029055082,1.8139192916973954
2,1.763106216686286,1.626635992902277,1.641455063553762,1.6470416573516036,1.640952555983241,1.639153336149433,1.6540907372228775,1.6398691252245174
3,1.7635669814944852,1.817826443115629,1.834156843261827,1.8491417062013424,1.836030261659565,1.8300982412803561,1.848713486720458,1.8428134547289114
4,1.7757763998751555,1.7098724025461474,1.7225317946150847,1.7296797581200691,1.7254528858504048,1.7295836332287202,1.7540400255329411,1.7292460178598956
5,1.7726833501290147,1.713311524529764,1.739285592295717,1.7377831189339186,1.7318143705930602,1.712093949198041,1.7499186654284131,1.7363669682086198
6,1.76428839374441,1.7939854723710071,1.8168635266890893,1.824969260179754,1.8120792060122224,1.7910028917097365,1.8363043404047905,1.8151021975740242
7,1.7731752650139432,1.688905421317458,1.7053227898112409,1.7024718434831856,1.705043186406551,1.6961985272499187,1.7196544456547822,1.7059359210472242
8,1.7659917724246017,1.8451799315400537,1.8650827511938834,1.8715562243393737,1.8629702319385417,1.8949009855011905,1.9324791657652705,1.8603527063860115
9,1.787111748616799,1.7699652083685562,1.7943261341811831,1.7964261710169482,1.78892362867138,1.7811789357669734,1.8055936125467933,1.7984527314662937
10,1.7668273474749334,1.6956039615044456,1.7049840063057617,1.7105604900819178,1.7118585606190675,1.7154922706036968,1.7209586959485073,1.7137171552811747
11,1.7877264980357683,1.8278852781081152,1.8465168354905626,1.845563611276777,1.8448596498608232,1.8708660208145487,1.8800490019017824,1.8485426712359798
12,1.7736769755501902,1.7317184845069327,1.7536666602468916,1.7523129300323104,1.74936603723213,1.7416928766019466,1.7856522221827253,1.752473083447012
13,1.7632049447307137,1.7168824550869666,1.739670694795482,1.742138924454846,1.7339593125890311,1.7230620188136663,1.7283127516399823,1.7312289376159304
14,1.7617412602718456,1.732317129361351,1.7490355241944027,1.7521653235445196,1.7479444412450753,1.7655335154642235,1.7937144315773852,1.7518904449262045
15,1.7625710624529551,1.674905043370402,1.6908851789828099,1.693641225432843,1.690372570366687,1.6787133223129211,1.7194007801762332,1.691414145248617
16,1.7587781804227767,1.8030101940028003,1.8188315736159155,1.830461728576999,1.8225277843110903,1.8257153395055652,1.8532449023889523,1.8265700511169345
17,1.7573598186766404,1.7858436665719168,1.804015010517313,1.8082319792277648,1.8042292362005454,1.8108098330340066,1.8710288360141416,1.8115806798530296
18,1.7589187508575193,1.8045472867425008,1.8224952893813782,1.8204710534776205,1.8209955094556067,1.8067122865904397,1.8144978321343634,1.8323436636400705
19,1.7639874568993132,1.760491559906048,1.7790080554581966,1.790405015727204,1.7782255468185688,1.7976817811416588,1.7975963101333203,1.7923958686259662
20,1.7628823247572731,1.7930960808090517,1.812655065097122,1.8355481693403108,1.8117923462156753,1.7716428083832332,1.8222435611172147,1.8139068598452486
21,1.770757065941904,1.7726473451142943,1.7942733020005712,1.7911302205590918,1.7896209030613373,1.7877659338348368,1.8059379588461149,1.7954204969396346
22,1.766626134677977,1.693004749471277,1.7128074956754777,1.7082635594440745,1.708389338502206,1.7021734820125622,1.7082935827922978,1.710132035207839
23,1.7660332344032685,1.6896229498416369,1.7078237399306224,1.7112045905267366,1.7061641245228336,1.7123812608415154,1.7236187418522642,1.7103714087416133
24,1.7633268659267294,1.7026319119860123,1.7154467081003641,1.725228233074939,1.718601448918765,1.7016529785361258,1.7277344378184503,1.7172144897668338
25,1.783653779380842,1.7309994516133522,1.7456440257441637,1.7611458101300652,1.7486138252263441,1.7241796778869254,1.7552490858047298,1.7585792377027887
26,1.7588496128129325,1.7695644044427878,1.7907435546501205,1.786263008566133,1.7868456389681044,1.7767019189988227,1.8123905582771176,1.8013722022403231
27,1.7627427426383568,1.770140495518093,1.7857722257426885,1.7917500167958869,1.7874122659326814,1.8031239159305263,1.8124713595329582,1.794595256026278
28,1.764603517000165,1.7233578140556707,1.7383626273083785,1.7412200958816824,1.740896588065296,1.7165337912650807,1.7456993247364068,1.7421675215856207
29,1.760906566856112,1.7043222852612245,1.7214236304536639,1.719761243016261,1.719871743608953,1.7109527965999978,1.7228569092179085,1.7225017245619674
30,1.7624655170544412,1.710107918682931,1.7284885466986475,1.7338665898934653,1.7259303408551672,1.7768401116377668,1.8106990019655567,1.7254540007301162
31,1.7573615365184372,1.71105508831554,1.7276448310271633,1.7338125028599762,1.7271153815037819,1.7136903311434692,1.7578419471397952,1.7263591212141474
32,1.7680791288175228,1.6776686182843579,1.6911450701339732,1.6952047082651858,1.692541258578004,1.6859987006542736,1.6929298038844718,1.6906896815328416
33,1.773376625156338,1.8227741173553649,1.8371056442178133,1.848929824048875,1.8405006167125038,1.8880296198083488,1.8857698472093412,1.843412086732001
34,1.7756687705615553,1.7479994658381257,1.7695425592864478,1.7697291258613912,1.7640497884277362,1.7722018590173607,1.7835818651346282,1.7688898108517668
35,1.7619866547804726,1.773798081381607,1.7885955579299826,1.8048581698330688,1.7917232455580823,1.7854973879288725,1.7965016276398853,1.7914348608925246
36,1.7654000779372114,1.7486084077737978,1.7702431596456232,1.7695281852881906,1.7667993861435023,1.7505841713913135,1.7931705642228768,1.7708575194439815
37,1.761166217973183,1.7686751811649337,1.7861340386769822,1.7956700618062666,1.784916051823961,1.8002550323548663,1.8364298861682253,1.7942535740335817
38,1.7682445989858857,1.7878319225169732,1.808480617511774,1.8072512083852075,1.806122361041097,1.7947726379065623,1.8111592805490477,1.8121076913878431
39,1.7642141075597622,1.7192839011937466,1.7344597964045707,1.7340278501080477,1.7342984257320717,1.7267133517046374,1.735020922541993,1.732373793727621
40,1.7650440166133639,1.6748610213216784,1.6901700745920456,1.7105058305116667,1.690756816349807,1.6581068567980792,1.709390697517863,1.7017636709603285
41,1.769025323706781,1.7281775634448064,1.7463236693093602,1.7445356897235165,1.7438483959434872,1.750034886605516,1.7783828108545652,1.7503960235950262
42,1.770398861380654,1.6504397951341334,1.666594765569332,1.670390296923672,1.6658977416778435,1.6377013757340853,1.674227558436152,1.669564894816063
43,1.7716440555511122,1.7976341972407577,1.8140132144144439,1.8199777638047832,1.8152537168778733,1.8229674444431445,1.8394956817204955,1.8175759485625242
44,1.7608492454917781,1.7699948365313622,1.7869177045141453,1.7954768190823578,1.7879428433406153,1.775902582794761,1.8119533305961772,1.7940785100018526
45,1.762363502940494,1.7119650642832602,1.7285453720528634,1.7328755302588394,1.7297694031469357,1.7738615643386135,1.787220389839419,1.7406574925190368
