set_number,err_true,err_train,err_cv2,err_cv3,err_cv4,err_cv5,err_cv6,err_cv7,err_cv8,err_cv9,err_cv10,err_cv25,err_cv50,err_cv100,err_loo
1,2.6897255837496954,2.711540558674214,2.77589543287851,2.765680919705439,2.7875941643418156,2.7586835428683916,2.748046667512854,2.765525578169448,2.7537859170953873,2.752596299168955,2.763272765367329,2.752026796343387,2.752369292956946,2.747722979362105,2.7520287438150235
2,2.689349688396598,2.527127357918784,2.678784019424743,2.5648596140001167,2.5704168006990225,2.566248238817155,2.56837893914322,2.563041340073115,2.5716461216725435,2.5679630130416986,2.56199948228059,2.5637274378896358,2.5668928426646023,2.56486445974183,2.563548933090216
3,2.6995115272409316,2.6736116135097086,2.7846335828887265,2.732236962317318,2.6982725152690534,2.714424017432687,2.7202699438958837,2.716964780524369,2.705268100057877,2.7167807235037653,2.7127904718533666,2.7073728258863596,2.708895134794736,2.7089236429923127,2.710740870892251
4,2.6999233057334795,2.598462939564223,2.638861226775526,2.6288366690307114,2.648138201404009,2.6287938248774436,2.632296521186585,2.641573219729151,2.6450687859239284,2.640809625325852,2.6282263359314686,2.633786650290948,2.637688543889607,2.6374363294197947,2.637185943349562
5,2.6964509492992326,2.656610678000174,2.722740363694856,2.735996698869541,2.7060689826152036,2.698408014190572,2.701409492219226,2.6994298509218626,2.6949951614528316,2.7106449456895665,2.68583993136129,2.6898371318740253,2.6917946792689107,2.6955240911608342,2.6938418700397753
6,2.701946917072527,2.665573957542884,2.712769843310929,2.7219476215381033,2.7379704076998044,2.7111689285314693,2.7072953144384906,2.705904904226263,2.707392258622478,2.707424391384191,2.7044867616876784,2.6958489298319916,2.70357312514581,2.7012202026642074,2.7017650279767707
7,2.672303092762546,2.9054297532679323,2.9739561777170036,2.9574846876136953,2.956426150055892,2.943398621846757,2.944450052033844,2.936067014120023,2.954094455623361,2.9547987074425905,2.9639760751564173,2.95264451329757,2.9515779207841017,2.946605830705393,2.9515558904159307
8,2.6811900102671635,2.756991019580239,2.797603471816567,2.809505787113582,2.814772210982811,2.8022828696776747,2.7933288567510424,2.797406667928576,2.809051644928607,2.7961865679367333,2.7909998173848387,2.7956130013197176,2.7973091492620723,2.7970444869211577,2.795380642132008
9,2.68318716779555,2.6370374000044974,2.7602836144122587,2.6896609934966107,2.697765790137554,2.693873228464715,2.679558833247882,2.685088512322883,2.6597879228166588,2.672486944352002,2.6744866258109563,2.6857713049020915,2.6723812429195264,2.6766294607563466,2.6744889692917635
10,2.680219147933838,2.594364029299681,2.617267554751285,2.6757677809586253,2.629006113849112,2.653791280062012,2.6106618110016724,2.660424536119803,2.629199691525385,2.628712053012477,2.632672343761125,2.634239149155663,2.6328087679461434,2.632810781738125,2.632419842387788
