set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,7,4,7,7,7,7,7
2,5,5,5,5,5,4,5
3,5,4,4,4,4,5,4
4,7,4,7,7,7,7,4
5,7,7,7,7,4,4,7
6,5,6,4,4,4,4,4
7,7,4,6,4,6,6,4
8,7,7,7,7,7,7,7
9,7,7,4,7,5,5,7
10,7,4,4,4,7,7,4
11,7,6,7,7,7,7,7
12,6,6,4,6,6,6,6
13,6,6,6,4,5,5,4
14,5,5,4,4,4,4,4
15,6,6,7,6,6,6,6
16,6,7,4,6,6,6,4
17,7,4,5,7,7,7,5
18,6,4,4,4,7,7,4
19,5,4,4,4,4,5,4
20,5,7,5,4,7,7,4
21,5,5,5,5,6,4,5
22,5,5,6,4,4,4,4
23,7,6,4,4,4,4,4
24,7,5,5,7,5,7,5
25,5,5,4,4,5,5,4
26,6,4,6,6,6,4,6
27,5,5,4,4,6,4,5
28,7,7,7,7,7,7,7
29,7,4,4,4,4,4,4
30,6,6,4,4,6,6,4
31,6,4,5,4,4,4,4
32,6,6,6,4,6,6,4
33,5,5,7,5,5,5,5
34,6,4,7,4,4,4,4
35,6,6,6,4,6,6,4
36,7,4,6,4,6,4,4
37,7,4,5,4,4,4,7
38,6,7,7,4,5,5,4
39,7,6,6,4,7,6,4
40,6,5,6,4,6,6,4
41,5,4,5,5,4,4,5
42,5,5,5,5,5,4,5
43,5,5,7,4,4,4,4
44,6,4,6,4,4,4,4
45,5,4,5,4,6,6,4
46,7,4,7,7,4,4,4
47,6,6,5,6,4,4,6
48,7,4,7,7,5,5,7
49,7,5,4,4,4,4,4
50,5,4,4,4,4,7,4
51,7,5,7,4,7,7,4
52,7,4,7,4,4,5,4
53,6,6,5,4,4,4,4
54,5,7,4,4,4,4,4
55,6,7,4,4,5,4,4
56,7,7,4,4,4,4,7
57,7,4,7,4,7,7,4
58,7,7,7,4,5,5,4
59,5,5,6,4,6,4,5
60,5,5,4,5,4,4,5
61,7,5,7,7,7,7,7
62,6,4,4,4,4,4,4
63,6,4,4,4,5,5,6
64,6,7,6,6,6,6,6
65,7,4,4,4,4,4,4
66,5,4,5,5,5,6,5
67,5,5,5,4,4,4,4
68,7,7,4,7,7,4,7
69,7,5,4,4,4,5,4
70,7,7,4,7,7,4,7
71,6,6,4,4,4,4,4
72,7,7,7,7,4,5,7
73,6,6,6,6,7,7,6
74,5,5,6,4,4,4,4
75,5,4,4,4,4,7,4
76,5,4,4,4,4,4,4
77,5,7,4,4,4,4,4
78,5,4,5,4,6,6,4
79,6,6,6,4,4,4,4
80,7,5,6,4,5,5,4
81,5,4,5,5,7,4,5
82,6,6,6,4,4,4,4
83,6,4,7,6,4,4,6
84,6,4,7,4,4,4,4
85,5,5,4,5,6,5,5
86,6,5,7,4,4,4,4
87,5,4,5,4,4,5,4
88,6,6,6,6,6,6,6
89,6,4,4,4,6,4,4
90,5,6,4,4,4,4,4
91,5,5,5,5,5,5,5
92,5,7,5,5,5,5,4
93,5,4,4,4,5,4,4
94,5,4,6,5,6,6,5
95,6,6,4,4,4,4,4
96,7,7,4,7,6,6,4
97,6,4,6,6,6,6,6
98,5,4,4,5,5,5,5
99,6,6,6,6,6,6,6
100,5,4,5,5,5,5,5
