set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,4,2,2,2,3,2,2
2,4,3,3,3,2,2,3
3,4,2,2,2,2,2,2
4,4,4,2,2,4,2,2
5,4,2,2,2,4,2,2
6,4,3,2,4,4,3,2
7,4,3,4,2,3,2,2
8,4,4,3,3,3,3,3
9,4,2,2,2,2,2,2
10,4,2,2,2,2,2,2
11,4,2,2,2,2,2,2
12,4,3,3,3,3,4,3
13,4,2,2,2,2,2,2
14,4,3,2,2,2,2,2
15,4,3,2,2,2,2,2
16,4,2,2,2,2,2,2
17,4,4,2,2,2,2,2
18,4,2,4,2,4,2,2
19,4,2,2,2,2,2,2
20,4,2,2,2,2,2,2
21,4,4,2,3,4,3,3
22,4,4,3,3,3,3,3
23,4,2,2,2,2,2,2
24,4,2,2,2,2,2,2
25,4,2,2,2,2,2,2
26,4,2,2,2,3,2,3
27,4,4,3,3,2,3,4
28,4,2,2,2,2,2,2
29,4,2,2,2,2,3,2
30,4,3,2,2,2,2,2
31,4,2,3,2,4,2,2
32,4,2,2,2,2,2,2
33,4,2,2,2,4,2,4
34,4,3,2,2,2,2,2
35,4,2,2,2,3,2,2
36,4,2,3,2,2,2,2
37,4,2,2,2,2,2,2
38,4,2,2,2,2,2,2
39,4,2,2,2,4,3,2
40,4,4,4,4,3,3,4
41,4,3,2,2,2,2,2
42,4,2,2,2,2,2,2
43,4,2,2,2,2,2,2
44,4,2,2,2,2,2,2
45,4,2,3,2,3,2,3
46,4,2,2,2,2,2,2
47,4,2,3,3,3,3,4
48,4,3,3,3,3,3,3
49,4,2,2,2,3,3,2
50,4,2,2,4,2,2,4
51,4,2,2,2,2,2,2
52,4,3,3,3,2,3,3
53,4,2,2,2,2,2,2
54,4,4,4,4,2,4,4
55,4,2,2,2,3,3,2
56,4,2,2,2,4,4,2
57,4,2,2,2,3,3,2
58,4,2,2,2,3,4,2
59,4,2,2,2,2,2,2
60,4,4,2,3,2,2,2
61,4,4,4,4,2,2,4
62,4,2,2,2,2,2,2
63,4,3,3,3,3,3,3
64,4,4,4,4,2,3,4
65,4,4,3,4,3,3,4
66,4,2,2,2,2,2,2
67,4,3,2,2,2,2,2
68,4,2,2,2,2,2,2
69,4,3,3,3,3,3,3
70,4,4,4,4,4,4,4
71,4,4,3,2,2,3,2
72,4,2,2,2,2,2,2
73,4,3,2,2,2,2,2
74,4,2,2,2,2,2,2
75,4,2,2,2,2,2,2
76,4,2,3,3,2,2,3
77,4,2,2,2,2,2,2
78,4,2,2,2,2,2,2
79,4,3,3,3,3,2,3
80,4,4,2,2,4,3,3
81,4,2,2,2,2,2,2
82,4,2,2,2,2,2,2
83,4,2,2,2,2,2,2
84,4,3,2,2,3,2,2
85,4,3,2,2,2,2,2
86,4,4,4,4,2,2,4
87,4,4,3,3,3,3,3
88,4,2,2,2,2,2,2
89,4,2,2,2,2,2,2
90,4,2,2,2,3,2,2
91,4,3,2,2,3,3,3
92,4,3,2,3,2,2,3
93,4,2,2,2,2,2,2
94,4,2,2,2,2,2,2
95,4,3,2,2,2,2,2
96,4,2,2,2,3,2,2
97,4,3,3,3,2,3,2
98,4,3,3,2,4,2,2
99,4,2,2,2,2,2,2
100,4,2,3,2,3,3,3
