set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,4,4,3,3,3,3,3
2,4,4,3,3,3,4,3
3,4,4,3,3,3,3,3
4,4,3,3,3,3,3,3
5,4,3,4,3,4,4,3
6,4,4,3,3,3,3,3
7,4,3,4,3,3,3,3
8,4,3,3,3,3,3,3
9,4,3,3,3,3,3,3
10,4,3,4,3,3,4,3
11,4,4,3,3,3,3,3
12,4,3,4,3,4,4,3
13,4,4,4,3,3,3,3
14,4,3,3,3,3,3,3
15,4,3,3,3,3,3,3
16,4,3,4,3,3,3,3
17,4,4,4,3,3,3,3
18,4,3,4,3,4,4,3
19,4,4,4,4,3,3,3
20,4,3,3,3,4,3,3
21,4,3,3,3,3,3,3
22,4,4,3,3,3,3,3
23,4,4,3,3,4,3,3
24,4,3,3,3,3,3,3
25,4,3,4,3,3,3,3
26,4,3,3,3,3,3,3
27,4,4,3,3,3,3,3
28,4,3,3,3,3,3,3
29,4,4,3,3,3,3,3
30,4,3,4,3,3,3,3
31,4,3,3,3,3,3,3
32,4,3,4,4,4,4,4
33,4,4,3,3,3,4,3
34,4,3,3,3,3,3,3
35,4,4,3,4,3,3,4
36,4,3,3,3,3,3,3
37,4,3,3,3,3,3,3
38,4,4,4,3,3,3,3
39,4,3,4,3,3,4,3
40,4,4,4,3,3,3,3
41,4,3,3,3,3,3,3
42,4,3,4,3,3,3,3
43,4,4,3,3,3,3,3
44,4,3,3,3,3,3,3
45,4,3,3,3,3,3,3
46,4,4,3,4,4,3,4
47,4,4,3,3,3,3,3
48,4,4,4,4,4,3,4
49,4,4,3,3,4,4,3
50,4,3,3,3,3,3,3
51,4,3,3,3,3,3,3
52,4,3,4,3,3,3,3
53,4,3,4,3,4,3,3
54,4,4,4,4,4,4,4
55,4,4,3,3,3,3,3
56,4,3,4,3,3,3,3
57,4,4,3,3,3,3,3
58,4,4,3,3,3,3,3
59,4,3,3,3,3,3,3
60,4,4,3,3,3,4,3
61,4,3,3,3,3,4,3
62,4,3,4,3,3,3,3
63,4,3,3,3,3,3,3
64,4,3,4,3,4,3,3
65,4,3,3,3,3,3,3
66,4,4,4,4,3,3,3
67,4,4,4,3,3,3,3
68,4,4,4,4,3,3,4
69,4,3,3,3,3,3,3
70,4,3,3,3,3,3,3
71,4,3,3,3,3,3,3
72,4,3,4,3,4,4,3
73,4,3,4,3,3,3,3
74,4,3,3,3,3,3,3
75,4,4,3,3,4,3,3
76,4,3,3,3,3,3,3
77,4,3,3,3,3,3,3
78,4,4,3,4,3,3,4
79,4,3,3,3,3,3,3
80,4,3,3,3,3,4,3
81,4,4,4,4,4,4,4
82,4,3,3,3,3,3,3
83,4,3,4,3,3,3,3
84,4,3,3,3,4,4,3
85,4,3,4,4,4,4,4
86,4,4,3,4,4,4,4
87,4,4,3,3,4,3,3
88,4,3,3,4,3,3,3
89,4,3,3,3,4,4,3
90,4,4,4,4,3,3,4
91,4,4,3,3,3,3,3
92,4,4,3,3,3,3,3
93,4,3,4,3,3,3,3
94,4,3,3,3,3,3,3
95,4,3,3,3,3,3,3
96,4,3,3,3,3,3,3
97,4,4,4,3,3,3,3
98,4,4,3,3,3,4,3
99,4,4,4,3,3,3,3
100,4,3,4,4,3,3,4
