set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,4,4,4,4,4,4,4
2,4,4,4,4,3,3,3
3,4,4,4,4,4,4,4
4,4,3,3,3,2,2,3
5,4,4,4,4,4,3,4
6,4,4,3,3,3,4,3
7,4,4,4,4,3,4,3
8,4,4,3,4,3,4,3
9,4,4,4,4,3,3,3
10,4,4,4,4,4,4,4
11,4,3,4,3,3,4,3
12,4,4,4,4,4,3,4
13,4,3,4,4,3,4,3
14,4,4,4,4,2,2,3
15,4,4,3,3,3,4,3
16,4,4,4,4,3,3,4
17,4,3,3,3,3,1,3
18,4,3,4,3,3,4,3
19,4,4,3,3,3,3,3
20,4,4,4,4,3,3,4
21,4,3,3,3,3,4,3
22,4,4,3,4,4,4,4
23,4,3,3,4,4,3,4
24,4,3,4,3,3,3,3
25,4,4,3,3,3,4,3
26,4,4,3,3,3,4,3
27,4,3,3,3,3,4,3
28,4,4,4,4,4,4,4
29,4,3,3,3,3,4,3
30,4,4,3,4,3,3,3
31,4,3,4,3,4,3,3
32,4,3,3,4,3,3,3
33,4,3,3,3,3,2,3
34,4,3,3,3,3,3,3
35,4,4,4,3,4,3,3
36,4,4,4,4,3,3,4
37,4,3,4,3,2,2,3
38,4,4,4,4,4,4,4
39,4,4,4,3,3,3,3
40,4,3,4,4,3,3,3
41,4,4,4,4,3,3,3
42,4,4,4,4,4,4,4
43,4,3,3,3,3,2,3
44,4,3,3,3,3,2,3
45,4,4,3,4,3,4,3
46,4,3,3,3,3,3,3
47,4,4,4,4,3,4,4
48,4,4,4,4,4,2,4
49,4,4,3,4,3,3,3
50,4,4,3,4,3,4,3
51,4,4,4,4,3,3,3
52,4,3,4,3,3,3,3
53,4,3,4,4,3,2,3
54,4,3,4,3,3,3,3
55,4,4,3,3,2,2,3
56,4,4,3,3,3,3,3
57,4,3,3,4,2,2,3
58,4,4,4,4,4,4,3
59,4,4,4,4,3,3,3
60,4,4,3,3,3,3,3
61,4,4,4,3,3,3,3
62,4,4,4,4,3,3,3
63,4,3,3,3,3,3,3
64,4,4,4,4,4,4,4
65,4,3,3,3,3,3,3
66,4,3,4,4,3,4,3
67,4,4,3,3,2,2,3
68,4,4,3,3,3,3,3
69,4,4,4,4,4,4,4
70,4,3,3,3,3,4,3
71,4,4,4,4,4,4,4
72,4,4,4,3,3,3,3
73,4,4,3,3,3,3,3
74,4,4,4,4,4,4,4
75,4,3,3,4,4,4,3
76,4,4,4,4,3,4,4
77,4,3,3,3,3,3,3
78,4,4,4,4,3,3,3
79,4,3,3,3,3,3,3
80,4,4,3,3,3,3,3
81,4,3,3,3,4,4,3
82,4,4,4,4,4,2,4
83,4,3,3,3,3,3,3
84,4,3,4,3,3,3,3
85,4,4,3,3,3,3,3
86,4,3,3,4,3,3,3
87,4,4,4,4,4,4,4
88,4,3,4,3,4,3,3
89,4,4,4,4,3,3,4
90,4,4,3,4,3,3,3
91,4,4,4,4,3,4,3
92,4,3,4,4,3,4,3
93,4,4,4,4,3,4,3
94,4,4,3,3,3,3,3
95,4,4,4,4,4,3,3
96,4,4,4,4,4,3,3
97,4,3,4,3,4,4,3
98,4,3,3,3,3,3,3
99,4,4,4,3,3,4,3
100,4,4,4,4,3,4,3
