set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,4,3,4,3,3,3,3
2,4,4,4,3,3,3,3
3,4,4,3,3,4,4,3
4,4,4,3,3,4,3,3
5,4,3,4,3,4,3,4
6,4,4,3,4,4,4,3
7,4,3,3,3,4,3,3
8,4,3,3,3,4,3,3
9,4,3,3,3,3,3,3
10,4,4,4,4,3,3,3
11,4,3,3,3,3,3,3
12,4,3,4,3,3,3,3
13,4,3,3,4,4,3,4
14,4,3,4,3,4,3,4
15,4,4,4,3,3,3,3
16,4,3,4,3,3,4,3
17,4,3,4,4,3,3,4
18,4,3,4,3,3,3,3
19,4,4,4,4,3,3,4
20,4,4,4,4,3,3,4
21,4,3,3,3,3,3,3
22,4,3,4,3,3,3,3
23,4,3,3,3,3,3,3
24,4,3,3,3,3,3,3
25,4,3,3,3,4,3,4
26,4,3,3,3,3,3,3
27,4,4,4,3,3,3,3
28,4,3,3,4,3,3,4
29,4,3,4,3,4,3,3
30,4,3,3,3,3,3,3
31,4,4,4,3,4,3,3
32,4,3,4,3,4,4,3
33,4,4,4,4,3,3,3
34,4,3,4,3,3,3,3
35,4,3,4,3,3,3,4
36,4,4,4,4,4,4,4
37,4,3,3,3,3,4,3
38,4,3,4,3,3,3,3
39,4,4,4,3,3,3,3
40,4,3,3,3,3,3,3
41,4,4,4,3,3,3,3
42,4,4,3,3,3,3,3
43,4,4,3,3,3,3,3
44,4,3,3,3,3,3,3
45,4,4,3,3,3,3,3
46,4,3,4,3,3,4,3
47,4,4,3,4,3,4,4
48,4,3,3,3,3,4,3
49,4,3,3,3,3,3,3
50,4,3,3,3,4,4,3
51,4,4,4,3,3,3,3
52,4,4,4,3,4,4,3
53,4,3,4,3,3,3,3
54,4,3,4,3,4,3,3
55,4,3,4,3,3,3,3
56,4,4,3,3,4,4,3
57,4,3,3,3,3,3,3
58,4,4,3,3,4,3,3
59,4,3,4,3,4,3,3
60,4,4,3,3,3,4,4
61,4,3,3,3,3,3,3
62,4,4,3,3,3,3,3
63,4,4,3,4,3,3,4
64,4,4,3,3,4,3,3
65,4,4,3,3,3,3,3
66,4,4,3,3,3,3,3
67,4,3,4,3,4,4,3
68,4,3,4,3,3,3,3
69,4,3,4,4,4,4,4
70,4,3,3,3,3,3,3
71,4,4,4,4,4,4,4
72,4,4,3,3,3,3,3
73,4,3,3,3,3,3,3
74,4,3,4,3,3,3,3
75,4,3,3,3,3,3,3
76,4,4,3,3,3,3,3
77,4,3,4,3,4,4,3
78,4,3,3,3,3,3,3
79,4,3,3,3,3,3,3
80,4,4,3,3,4,4,3
81,4,3,3,3,3,3,3
82,4,4,4,3,3,3,3
83,4,3,3,3,4,3,3
84,4,3,3,3,3,4,3
85,4,4,3,3,3,3,3
86,4,3,4,3,3,3,3
87,4,3,4,3,3,3,3
88,4,3,4,3,3,3,3
89,4,3,3,3,3,3,3
90,4,4,4,3,3,3,3
91,4,4,3,3,3,3,3
92,4,3,4,3,3,3,3
93,4,3,4,3,3,4,3
94,4,4,4,3,3,3,3
95,4,4,3,3,3,3,3
96,4,4,4,3,3,3,3
97,4,3,4,3,3,3,3
98,4,3,3,3,3,3,3
99,4,4,4,4,3,3,3
100,4,3,3,3,3,3,3
